iter	Logloss
0	0.692612045
1	0.6920292655
2	0.6913456557
3	0.691116343
4	0.6908168179
5	0.689807714
6	0.6895218947
7	0.688967649
8	0.6886076899
9	0.6870831335
10	0.6867300674
11	0.6862151759
12	0.6849837325
13	0.6839774339
14	0.6837719262
15	0.6822579497
16	0.6810304337
17	0.6807200081
18	0.6804309827
19	0.6798776989
20	0.6791362199
21	0.6789353609
22	0.6785270706
23	0.6783802336
24	0.6779561534
25	0.6775668589
26	0.6769809535
27	0.6766464023
28	0.6765181603
29	0.6760431842
30	0.6756943661
31	0.6746349272
32	0.6734452426
33	0.6730561084
34	0.6728656691
35	0.6726498219
36	0.6723625599
37	0.6718358061
38	0.671323239
39	0.6710253169
40	0.6706537358
41	0.6698357124
42	0.6691196414
43	0.6682826222
44	0.668145243
45	0.667794902
46	0.6676188498
47	0.6672450245
48	0.6664578193
49	0.6663270526
50	0.6657216704
51	0.6651122005
52	0.6648995994
53	0.6644639775
54	0.6638583548
55	0.663687793
56	0.6632904433
57	0.6628611534
58	0.6619055504
59	0.660802349
60	0.6605961199
61	0.6603413993
62	0.6601268746
63	0.660023239
64	0.6597313684
65	0.659566337
66	0.6594081986
67	0.6592614417
68	0.6584788452
69	0.657693243
70	0.6574085058
71	0.6571216445
72	0.6569699584
73	0.6568076521
74	0.6567468574
75	0.656432304
76	0.6561717724
77	0.6559358072
78	0.6555860273
79	0.6549730307
80	0.6542686217
81	0.6537431904
82	0.6534609378
83	0.6531214573
84	0.6529012018
85	0.6524542385
86	0.6522332215
87	0.6518441274
88	0.6517605697
89	0.6515019618
90	0.6511621607
91	0.6508715323
92	0.6507524677
93	0.6504879286
94	0.650305825
95	0.6498127347
96	0.6493403234
97	0.6490206402
98	0.6487124588
99	0.6482881783
100	0.6481468717
101	0.6480322554
102	0.6474713572
103	0.6473272453
104	0.6470469164
105	0.6465910563
106	0.6464181701
107	0.6462932945
108	0.6460310798
109	0.6458254518
110	0.6457065475
111	0.6450617709
112	0.644946794
113	0.6447743887
114	0.6444206413
115	0.6443189294
116	0.6440456137
117	0.643779672
118	0.6435997325
119	0.6434657196
120	0.6432582883
121	0.6431720856
122	0.6430777076
123	0.6430628395
124	0.6428423836
125	0.6427126989
126	0.6426486581
127	0.6425834951
128	0.6425103972
129	0.6423181946
130	0.6420657984
131	0.6418117992
132	0.6417141349
133	0.6413579028
134	0.6410576964
135	0.64094833
136	0.6407896306
137	0.6406362212
138	0.6403501214
139	0.6398891717
140	0.639662464
141	0.6389823007
142	0.6388672035
143	0.6384997102
144	0.6382755272
145	0.6381221578
146	0.6379235431
147	0.6376584429
148	0.6375467121
149	0.6371303666
150	0.6370001609
151	0.6367641957
152	0.6365452226
153	0.6363025247
154	0.6361004635
155	0.6359972287
156	0.6356143062
157	0.635496524
158	0.6353742132
159	0.6347943191
160	0.6346653558
161	0.6346138186
162	0.634536633
163	0.6344302322
164	0.6344137611
165	0.6339379835
166	0.633821644
167	0.6333224221
168	0.6330178474
169	0.6329067979
170	0.6327369975
171	0.6324312607
172	0.6319967209
173	0.6319404547
174	0.6316359201
175	0.6312101168
176	0.6311654324
177	0.6309170839
178	0.6308210627
179	0.6305888646
180	0.6301312813
181	0.6300449584
182	0.629876721
183	0.6297498817
184	0.6294226643
185	0.6293538144
186	0.6291200935
187	0.6290484783
188	0.6287852217
189	0.6287096391
190	0.6284317548
191	0.62836034
192	0.6281756716
193	0.6277140006
194	0.6276187408
195	0.6274108686
196	0.6272037579
197	0.6268563023
198	0.6265270812
199	0.6263717481
200	0.6263087092
201	0.6261833527
202	0.6256918654
203	0.6255711576
204	0.6255417421
205	0.6254449996
206	0.6253213663
207	0.6252117595
208	0.6249089081
209	0.6248218639
210	0.6246844847
211	0.6243231229
212	0.6241880681
213	0.6239416833
214	0.6235167615
215	0.6233429536
216	0.6231267858
217	0.6228872138
218	0.6226422316
219	0.622458004
220	0.6223076002
221	0.6219170634
222	0.6217823292
223	0.6216291602
224	0.621418643
225	0.6212754528
226	0.6212552547
227	0.6211399572
228	0.6210788419
229	0.6210050627
230	0.6209762884
231	0.6208593077
232	0.6207390007
233	0.6206166498
234	0.6204462083
235	0.620217617
236	0.6201612707
237	0.619881062
238	0.6198371792
239	0.619522786
240	0.6193980707
241	0.6191469569
242	0.6189757539
243	0.6188690727
244	0.6187847536
245	0.6187096519
246	0.6186945033
247	0.6186727823
248	0.6185152852
249	0.6183393532
250	0.6181853426
251	0.6180002735
252	0.6179854455
253	0.6178312746
254	0.6175427302
255	0.6173964542
256	0.6173291673
257	0.6172577125
258	0.6172294992
259	0.6170734448
260	0.6170055567
261	0.6168032951
262	0.6166463991
263	0.6165609579
264	0.616495835
265	0.6164150827
266	0.6163800566
267	0.616306077
268	0.6162840354
269	0.6160354063
270	0.6158202404
271	0.6156761685
272	0.6153728763
273	0.6152980952
