iter	Passed	Remaining
0	34	346941
1	65	326456
2	97	326507
3	132	330500
4	166	333345
5	200	333475
6	232	331935
7	266	332592
8	294	327210
9	322	322642
10	351	318908
11	379	315732
12	408	313479
13	438	312915
14	466	310817
15	496	309806
16	524	307960
17	551	305791
18	579	304315
19	607	303111
20	635	302128
21	663	301125
22	692	300479
23	722	300398
24	750	299512
25	777	298340
26	806	297880
27	833	296901
28	860	296020
29	889	295476
30	915	294441
31	942	293455
32	969	292801
33	997	292282
34	1026	292149
35	1055	292120
36	1081	291120
37	1109	290735
38	1138	290776
39	1164	289910
40	1193	289870
41	1221	289568
42	1251	289770
43	1281	289945
44	1310	289844
45	1337	289506
46	1368	289855
47	1398	289955
48	1428	290108
49	1456	289906
50	1484	289619
51	1514	289816
52	1541	289286
53	1569	289005
54	1598	289076
55	1626	288872
56	1652	288344
57	1682	288400
58	1710	288195
59	1739	288259
60	1767	287967
61	1796	287904
62	1823	287597
63	1852	287632
64	1881	287528
65	1910	287574
66	1939	287569
67	1968	287543
68	1996	287347
69	2024	287216
70	2055	287388
71	2084	287424
72	2114	287540
73	2138	286827
74	2162	286202
75	2193	286374
76	2222	286442
77	2249	286168
78	2280	286373
79	2310	286545
80	2339	286545
81	2366	286233
82	2394	286096
83	2422	285954
84	2449	285734
85	2478	285681
86	2507	285738
87	2536	285704
88	2566	285802
89	2594	285686
90	2624	285782
91	2654	285915
92	2680	285535
93	2706	285271
94	2738	285571
95	2769	285736
96	2799	285777
97	2829	285928
98	2861	286179
99	2891	286299
100	2919	286183
101	2946	285879
102	2973	285673
103	2999	285441
104	3026	285258
105	3054	285141
106	3083	285108
107	3111	284972
108	3138	284826
109	3166	284689
110	3195	284642
111	3223	284569
112	3249	284340
113	3275	284086
114	3305	284158
115	3332	283912
116	3356	283530
117	3383	283375
118	3408	282990
119	3434	282754
120	3463	282738
121	3490	282580
122	3518	282543
123	3545	282370
124	3571	282182
125	3599	282078
126	3628	282066
127	3641	280862
128	3669	280807
129	3697	280720
130	3724	280569
131	3753	280592
132	3781	280532
133	3808	280395
134	3836	280351
135	3864	280277
136	3890	280089
137	3918	280055
138	3946	279959
139	3971	279738
140	3999	279676
141	4026	279533
142	4052	279307
143	4077	279084
144	4104	278969
145	4133	278955
146	4159	278815
147	4187	278739
148	4216	278775
149	4244	278715
150	4271	278605
151	4299	278556
152	4326	278429
153	4353	278370
154	4381	278307
155	4409	278236
156	4438	278242
157	4464	278114
158	4492	278032
159	4519	277947
160	4545	277810
161	4573	277720
162	4601	277694
163	4626	277492
164	4638	276457
165	4664	276345
166	4690	276170
167	4711	275746
168	4740	275751
169	4765	275536
170	4793	275522
171	4821	275474
172	4846	275304
173	4872	275180
174	4903	275271
175	4932	275296
176	4965	275576
177	4995	275629
178	5024	275678
179	5054	275737
180	5083	275781
181	5110	275669
182	5136	275561
183	5162	275426
184	5190	275364
185	5214	275160
186	5242	275094
187	5270	275054
188	5292	274746
189	5318	274615
190	5345	274526
191	5357	273671
192	5384	273592
193	5414	273676
194	5443	273706
195	5473	273783
196	5500	273691
197	5530	273770
198	5558	273740
199	5589	273876
200	5619	273963
201	5646	273906
202	5678	274055
203	5704	273934
204	5731	273857
205	5760	273869
206	5789	273914
207	5815	273760
208	5844	273785
209	5874	273881
210	5901	273806
211	5928	273738
212	5957	273731
213	5987	273824
214	6017	273853
215	6044	273778
216	6073	273798
217	6101	273776
218	6127	273671
219	6156	273675
220	6182	273571
221	6212	273621
222	6241	273642
223	6272	273755
224	6299	273695
225	6328	273675
226	6353	273550
227	6381	273509
228	6409	273475
229	6438	273513
230	6466	273468
231	6497	273550
232	6528	273655
233	6559	273778
234	6590	273874
235	6621	273963
236	6649	273939
237	6678	273923
238	6705	273872
239	6735	273903
240	6762	273826
241	6787	273681
242	6815	273652
243	6845	273696
244	6873	273696
245	6901	273663
246	6929	273632
247	6954	273478
248	6981	273408
249	7010	273405
250	7038	273370
251	7066	273357
252	7095	273373
253	7125	273398
254	7156	273502
255	7184	273466
256	7211	273408
257	7239	273352
258	7266	273309
259	7295	273309
260	7326	273384
261	7356	273434
262	7385	273428
263	7414	273439
264	7442	273405
265	7472	273437
266	7499	273379
267	7527	273342
268	7556	273368
269	7587	273419
270	7616	273427
271	7647	273515
272	7679	273617
273	7708	273630
274	7738	273663
275	7768	273693
276	7799	273755
277	7828	273760
278	7861	273901
279	7889	273893
280	7919	273912
281	7948	273921
282	7978	273947
283	8007	273962
284	8039	274057
285	8066	273991
286	8093	273906
287	8120	273833
288	8147	273759
289	8174	273689
290	8201	273635
291	8231	273660
292	8258	273613
293	8286	273563
294	8314	273540
295	8342	273500
296	8370	273476
297	8396	273370
298	8424	273328
299	8451	273255
300	8479	273230
301	8508	273213
302	8536	273181
303	8563	273124
304	8590	273056
305	8619	273054
306	8649	273083
307	8676	273041
308	8704	272987
309	8729	272870
310	8760	272926
311	8786	272818
312	8811	272713
313	8839	272668
314	8868	272659
315	8893	272551
316	8920	272488
317	8946	272376
318	8972	272291
319	8998	272215
320	9024	272113
321	9051	272052
322	9079	272029
323	9105	271930
324	9133	271885
325	9159	271812
326	9183	271666
327	9212	271660
328	9237	271545
329	9266	271534
330	9292	271433
331	9320	271414
332	9348	271374
333	9377	271383
334	9404	271315
335	9430	271252
336	9458	271216
337	9487	271197
338	9518	271262
339	9546	271244
340	9574	271196
341	9601	271136
342	9629	271127
